QNAME	tx_id	is_compatible
r001	A1	TRUE
r001	A2	TRUE
r002	A1	FALSE
r002	A2	FALSE
r003	A1	TRUE
r003	A2	TRUE
r004	A1	TRUE
r004	A2	TRUE
r005	A1	TRUE
r005	A2	TRUE
r006	A1	FALSE
r006	A2	TRUE
r007	A1	TRUE
r007	A2	FALSE
r008	A2	TRUE
r009	A2	TRUE
r010	A2	TRUE
r011	A2	TRUE
r014	B1	TRUE
r015	B1	TRUE
r016	B1	TRUE
r017	B1	TRUE
r017	B2	FALSE
r018	B1	TRUE
r018	B2	FALSE
r019	B1	TRUE
r019	B2	FALSE
r020	B1	TRUE
r020	B2	FALSE
r021	B1	TRUE
r021	B2	TRUE
r022	B1	TRUE
r022	B2	TRUE
r023	B1	TRUE
r023	B2	TRUE
r024	B1	FALSE
r024	B2	FALSE
r025	B1	FALSE
r025	B2	FALSE
r026	B1	FALSE
r026	B2	FALSE
r027	B1	TRUE
r027	B2	TRUE
r028	B1	TRUE
r028	B2	TRUE
r029	B1	TRUE
r029	B2	TRUE
r030	B1	FALSE
r030	B2	FALSE
r031	B1	TRUE
r031	B2	TRUE
r032	B1	TRUE
r032	B2	TRUE
r033	B1	TRUE
r033	B2	TRUE
r034	B1	TRUE
r034	B2	TRUE
r035	B1	TRUE
r035	B2	TRUE
r036	B1	TRUE
r036	B2	FALSE
r037	B1	TRUE
r038	B1	TRUE
r039	B1	TRUE
r040	B1	TRUE
r041	B1	FALSE
r042	B1	TRUE

